Transaction ID,Date,Name,From Email Address,Payer ID,Gross,Fee,Net,Currency,Status,Type,Subscription ID,Reference Txn ID,Country
PP-5000023,07/17/2024 15:28,Anna Schmidt,anna.schmidt@web.de,PAYER81720714,10.00,-0.64,9.36,EUR,Completed,Donation Payment,,,DE
PP-5000024,03/05/2024 17:53,Olha Lysenko,o.lysenko@ukr.net,PAYER90490815,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000025,05/10/2024 11:34,Serhii Diachenko,s.diachenko@i.ua,PAYER51374559,200.00,-16.80,183.20,UAH,Completed,Donation Payment,,,UA
PP-5000026,05/08/2025 16:01,Viktoriia Moroz,v.moroz@gmail.com,PAYER67660948,"1,000.00",-44.00,956.00,UAH,Completed,Donation Payment,,,UA
PP-5000027,10/29/2024 12:42,Olha Lysenko,o.lysenko@ukr.net,PAYER90490815,50.00,-2.00,48.00,USD,Completed,Donation Payment,,,UA
PP-5000028,07/06/2024 13:43,Anna Schmidt,anna.schmidt@web.de,PAYER81720714,200.00,-7.10,192.90,EUR,Completed,Donation Payment,,,DE
PP-5000029,11/04/2024 01:02,Katarzyna Nowak,k.nowak@wp.pl,PAYER03736486,10.00,-0.64,9.36,USD,Completed,Donation Payment,,,PL
PP-5000030,07/13/2026 19:47,James Whitfield,j.whitfield@gmail.com,PAYER01220393,"1,250.00",-42.80,"1,207.20",EUR,Completed,Donation Payment,,,GB
PP-5000031,04/10/2025 18:38,Olha Lysenko,o.lysenko@ukr.net,PAYER90490815,300.00,-20.20,279.80,UAH,Completed,Donation Payment,,,UA
PP-5000032,01/31/2024 11:33,Bohdan Kozak,b.kozak@gmail.com,PAYER93016563,500.00,-27.00,473.00,UAH,Completed,Donation Payment,I-0093016563,,UA
PP-5000033,01/05/2026 23:47,Katarzyna Nowak,k.nowak@wp.pl,PAYER03736486,20.00,-0.98,19.02,EUR,Completed,Donation Payment,,,PL
PP-5000034,11/04/2023 15:23,Andrii Zghurskyi,a.zghurskyi@gmail.com,PAYER82631472,200.00,-7.10,192.90,EUR,Completed,Donation Payment,,,PL
PP-5900001,04/18/2026 14:03,Olena Kovalchuk,,PAYER77001122,"1,000.00",-34.00,966.00,UAH,Completed,Donation Payment,,,UA
PP-5900010,05/03/2026 10:00,Michael Brennan,m.brennan@protonmail.com,PAYER31200045,500.00,-17.30,482.70,USD,Completed,Donation Payment,,,US
PP-5900011,05/15/2026 08:41,Michael Brennan,m.brennan@protonmail.com,PAYER31200045,-500.00,17.30,-482.70,USD,Refunded,Refund,,PP-5900010,US
PP-5910000,03/05/2026 09:00,Dmytro Romaniuk,d.romaniuk@gmail.com,PAYER55009911,300.00,-20.20,279.80,UAH,Completed,Subscription Payment,I-DMYTRO0001,,UA
PP-5910001,04/05/2026 09:00,Dmytro Romaniuk,d.romaniuk@gmail.com,PAYER55009911,300.00,-20.20,279.80,UAH,Completed,Subscription Payment,I-DMYTRO0001,,UA
PP-5910002,05/05/2026 09:00,Dmytro Romaniuk,d.romaniuk@gmail.com,PAYER55009911,300.00,-20.20,279.80,UAH,Failed,Subscription Payment,I-DMYTRO0001,,UA
PP-5910003,06/05/2026 09:00,Dmytro Romaniuk,d.romaniuk@gmail.com,PAYER55009911,300.00,-20.20,279.80,UAH,Completed,Subscription Payment,I-DMYTRO0001,,UA
