transaction_id,created_at,donor_name,donor_email,donor_phone,amount,currency,payment_method,campaign,fund,is_recurring,marketing_consent,country,city
WEB-100028,2024-01-28T13:07:51Z,Andrii Zghurskyi,a.zghurskyi@gmail.com,,200.00,EUR,google_pay,annual_2025,general,false,true,PL,Warsaw
WEB-100029,2023-03-27T06:23:13Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,0662223344,300.00,UAH,apple_pay,rebuild_2026,general,false,true,UA,Львів
WEB-100030,2024-09-04T23:31:28Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,0662223344,200.00,UAH,apple_pay,annual_2025,scholarship,false,true,UA,Львів
WEB-100031,2025-03-15T01:56:23Z,Volodymyr Hrytsenko,v.hrytsenko@outlook.com,,25000.00,UAH,card,emergency_2025,scholarship,false,true,UA,Київ
WEB-100032,2025-07-25T22:44:01Z,Yurii Pavlenko,y.pavlenko@gmail.com,0505558877,500.00,UAH,card,emergency_2025,scholarship,false,true,UA,Одеса
WEB-100033,2026-06-10T03:54:52Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,0662223344,1000.00,UAH,card,rebuild_2026,scholarship,false,true,UA,Львів
WEB-100034,2023-05-12T02:54:07Z,Andrii Shevchenko,a.shevchenko@i.ua,,300.00,UAH,apple_pay,scholarship_fund,scholarship,false,true,UA,Харків
WEB-100035,2026-06-09T19:25:32Z,Dmytro Romaniuk,d.romaniuk@gmail.com,0674445566,200.00,USD,google_pay,,humanitarian,false,true,UA,Київ
WEB-100036,2025-08-31T00:57:00Z,Tekhnobud LLC,finance@tehnobud.ua,0442223344,250000.00,UAH,google_pay,rebuild_2026,scholarship,false,true,UA,Київ
WEB-100037,2025-08-02T21:09:48Z,Andrii Shevchenko,shevchenko.andriy1988@gmail.com,,1000.00,UAH,apple_pay,,general,false,false,UA,Дніпро
WEB-100038,2026-02-15T16:26:10Z,Volodymyr Hrytsenko,v.hrytsenko@outlook.com,0503334455,250000.00,UAH,apple_pay,scholarship_fund,humanitarian,false,true,UA,Київ
WEB-100039,2024-04-22T14:07:42Z,Serhii Diachenko,s.diachenko@i.ua,0502223311,5000.00,UAH,apple_pay,winter_appeal_2024,humanitarian,false,true,UA,Одеса
WEB-100040,2025-06-30T19:38:37Z,Ivan Melnychuk,melnychuk.ivan@gmail.com,0509998877,300.00,UAH,card,scholarship_fund,scholarship,false,true,UA,Одеса
WEB-100041,2026-02-13T20:15:34Z,Yurii Pavlenko,y.pavlenko@gmail.com,0505558877,5000.00,UAH,card,rebuild_2026,scholarship,false,true,UA,Одеса
WEB-100042,2026-03-12T21:24:10Z,Dmytro Romaniuk,d.romaniuk@gmail.com,0674445566,2000.00,UAH,apple_pay,annual_2025,general,false,true,UA,Київ
WEB-100043,2024-03-14T10:15:53Z,Nordic Aid Foundation,grants@nordicaid.org,+46812345678,1250.00,EUR,card,rebuild_2026,humanitarian,false,true,SE,Stockholm
WEB-100044,2024-01-15T21:22:12Z,Andrii Zghurskyi,a.zghurskyi@gmail.com,+48221234567,50.00,EUR,card,,scholarship,false,true,PL,Warsaw
WEB-199999,2026-07-14T09:12:00Z,Volodymyr Hrytsenko,v.hrytsenko@outlook.com,0503334455,250000.00,UAH,card,rebuild_2026,general,false,true,UA,Київ
WEB-150001,2023-03-10T12:00:00Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,,500.00,UAH,card,annual_2025,general,false,true,UA,Львів
WEB-150002,2023-05-22T18:30:00Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,,300.00,UAH,card,annual_2025,general,false,true,UA,Львів
WEB-190500,2026-06-05T11:15:00Z,Sofiia Tkachenko,sofia.tkachenko@ukr.net,,1000.00,UAH,card,annual_2025,general,false,true,UA,Львів
